CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
54579    45.1447  no-vmlinux               no-vmlinux               /no-vmlinux
7654      6.3310  transceiver              transceiver              convolve(signalVector const*, signalVector const*, signalVector*, ConvType, unsigned int, unsigned int)
7007      5.7958  libstdc++.so.6.0.14      libstdc++.so.6.0.14      /usr/lib/libstdc++.so.6.0.14
3093      2.5584  OpenBTS                  OpenBTS                  ViterbiR2O4::getSoftCostMetrics(unsigned int, float const*, float const*)
2937      2.4293  transceiver              transceiver              RadioInterface::radioifyVector(signalVector&, short*, float, bool)
2589      2.1415  libc-2.12.2.so           libc-2.12.2.so           memcpy
2550      2.1092  libc-2.12.2.so           libc-2.12.2.so           malloc
2321      1.9198  libc-2.12.2.so           libc-2.12.2.so           _int_malloc
2054      1.6990  transceiver              transceiver              gLoggingLevel(char const*)
1750      1.4475  transceiver              transceiver              RadioInterface::unRadioifyVector(short*, signalVector&)
1566      1.2953  libc-2.12.2.so           libc-2.12.2.so           memcmp
1523      1.2597  libc-2.12.2.so           libc-2.12.2.so           free
1387      1.1472  transceiver              transceiver              sinLookup(float)
1292      1.0687  [vectors] (tgid:10946 range:0xffff0000-0xffff1000) transceiver              [vectors] (tgid:10946 range:0xffff0000-0xffff1000)
1237      1.0232  libc-2.12.2.so           libc-2.12.2.so           _int_free
1150      0.9512  transceiver              transceiver              scaleVector(signalVector&, Complex<float>)
1119      0.9256  OpenBTS                  OpenBTS                  ViterbiR2O4::pruneCandidates()
933       0.7717  OpenBTS                  OpenBTS                  ViterbiR2O4::minCost() const
833       0.6890  transceiver              transceiver              RadioInterface::driveReceiveRadio()
769       0.6361  transceiver              transceiver              sinc(float)
714       0.5906  libgcc_s.so.1            libgcc_s.so.1            /lib/libgcc_s.so.1
697       0.5765  OpenBTS                  OpenBTS                  SoftVector::decode(ViterbiR2O4&, BitVector&) const
676       0.5591  libuhd.so.003.001        libuhd.so.003.001        convert_item32_1_to_sc16_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
651       0.5385  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_mutex_lock
630       0.5211  transceiver              transceiver              interpolatePoint(signalVector const&, float)
612       0.5062  transceiver              transceiver              GMSKReverseRotate(signalVector&)
560       0.4632  libuhd.so.003.001        libuhd.so.003.001        convert_sc16_1_to_item32_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
553       0.4574  transceiver              transceiver              energyDetect(signalVector&, unsigned int, float, float*)
479       0.3962  OpenBTS                  OpenBTS                  ViterbiR2O4::branchCandidates()
471       0.3896  transceiver              transceiver              Transceiver::driveReceiveFIFO()
467       0.3863  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_mutex_unlock_usercnt
427       0.3532  transceiver              transceiver              GMSKRotate(signalVector&)
421       0.3482  libm-2.12.2.so           libm-2.12.2.so           roundl
421       0.3482  transceiver              transceiver              ConfigurationTable::defines(std::string const&) const
408       0.3375  libc-2.12.2.so           libc-2.12.2.so           malloc_consolidate
404       0.3342  transceiver              transceiver              vectorSlicer(signalVector*)
390       0.3226  OpenBTS                  OpenBTS                  gLoggingLevel(char const*)
388       0.3209  libortp.so.8.0.0         libortp.so.8.0.0         /usr/lib/libortp.so.8.0.0
384       0.3176  libboost_thread.so.1.45.0 libboost_thread.so.1.45.0 /usr/lib/libboost_thread.so.1.45.0
384       0.3176  libc-2.12.2.so           libc-2.12.2.so           strlen
375       0.3102  transceiver              transceiver              ConfigurationTable::getStr(std::string const&) const
371       0.3069  transceiver              transceiver              Transceiver::pullRadioVector(GSM::Time&, int&, int&)
341       0.2821  asterisk                 asterisk                 /usr/sbin/asterisk
320       0.2647  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::recv(uhd::ref_vector<void*> const&, unsigned int, uhd::rx_metadata_t&, uhd::io_type_t const&, uhd::device::recv_mode_t, double)
317       0.2622  OpenBTS                  OpenBTS                  ARFCNManager::driveRx()
312       0.2581  libc-2.12.2.so           libc-2.12.2.so           Laligned
288       0.2382  transceiver              transceiver              modulateBurst(BitVector const&, signalVector const&, int, int)
247       0.2043  transceiver              transceiver              gLookupLevel(char const*)
220       0.1820  OpenBTS                  OpenBTS                  SoftVector::sliced() const
220       0.1820  transceiver              transceiver              Transceiver::pushRadioVector(GSM::Time&)
214       0.1770  libc-2.12.2.so           libc-2.12.2.so           strcmp
209       0.1729  transceiver              transceiver              uhd_device::readSamples(short*, int, bool*, unsigned long long, bool*, unsigned int*)
193       0.1596  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::send(uhd::ref_vector<void const*> const&, unsigned int, uhd::tx_metadata_t const&, uhd::io_type_t const&, uhd::device::send_mode_t, double)
192       0.1588  OpenBTS                  OpenBTS                  ConfigurationTable::defines(std::string const&) const
186       0.1538  [vectors] (tgid:10945 range:0xffff0000-0xffff1000) OpenBTS                  [vectors] (tgid:10945 range:0xffff0000-0xffff1000)
185       0.1530  libuhd.so.003.001        libuhd.so.003.001        bool boost::condition_variable_any::timed_wait<boost::unique_lock<boost::mutex>, boost::posix_time::time_duration, boost::function<bool ()()> >(boost::unique_lock<boost::mutex>&, boost::posix_time::time_duration const&, boost::function<bool ()()>)
179       0.1481  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Decoder::deinterleave(int)
169       0.1398  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_signal@@GLIBC_2.4
169       0.1398  transceiver              transceiver              delayVector(signalVector&, float)
168       0.1390  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::io_impl::get_recv_buffs(std::vector<boost::intrusive_ptr<uhd::transport::managed_recv_buffer>, std::allocator<boost::intrusive_ptr<uhd::transport::managed_recv_buffer> > >&)
163       0.1348  transceiver              transceiver              peakDetect(signalVector const&, float*, float*)
155       0.1282  transceiver              transceiver              Transceiver::driveTransmitFIFO()
153       0.1266  libuhd.so.003.001        libuhd.so.003.001        uhd::transport::vrt::if_hdr_unpack_le(unsigned int const*, uhd::transport::vrt::if_packet_info_t&)
149       0.1232  libc-2.12.2.so           libc-2.12.2.so           __offtime
143       0.1183  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_getspecific
140       0.1158  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_cond_timedwait@@GLIBC_2.4
135       0.1117  transceiver              transceiver              Transceiver::addRadioVector(BitVector&, int, GSM::Time&)
133       0.1100  transceiver              transceiver              analyzeTrafficBurst(signalVector&, unsigned int, float, int, Complex<float>*, float*, unsigned int, bool, signalVector**, float*)
132       0.1092  transceiver              transceiver              uhd_device::writeSamples(short*, int, bool*, unsigned long long, bool)
120       0.0993  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_mutex_unlock
118       0.0976  OpenBTS                  OpenBTS                  ConfigurationTable::getStr(std::string const&) const
116       0.0959  libm-2.12.2.so           libm-2.12.2.so           __ieee754_log
116       0.0959  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::io_impl::recv_pirate_loop(boost::barrier&, boost::shared_ptr<usrp_e100_clock_ctrl>)
115       0.0951  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_mmap_zero_copy_impl::get_recv_buff(double)
110       0.0910  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_enable_asynccancel
103       0.0852  libc-2.12.2.so           libc-2.12.2.so           poll
102       0.0844  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_disable_asynccancel
101       0.0835  libc-2.12.2.so           libc-2.12.2.so           __tz_convert
96        0.0794  libuhd.so.003.001        libuhd.so.003.001        uhd::transport::vrt::if_hdr_pack_le(unsigned int*, uhd::transport::vrt::if_packet_info_t&)
94        0.0778  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_once
91        0.0753  libm-2.12.2.so           libm-2.12.2.so           floor
91        0.0753  libuhd.so.003.001        libuhd.so.003.001        bool boost::condition_variable_any::timed_wait<boost::unique_lock<boost::mutex> >(boost::unique_lock<boost::mutex>&, boost::posix_time::ptime const&)
