CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
24965    17.6946  no-vmlinux               no-vmlinux               /no-vmlinux
18058    12.7991  transceiver              transceiver              convolve(signalVector const*, signalVector const*, signalVector*, ConvType, unsigned int, unsigned int)
10495     7.4386  libstdc++.so.6.0.14      libstdc++.so.6.0.14      /usr/lib/libstdc++.so.6.0.14
7951      5.6355  OpenBTS                  OpenBTS                  ViterbiR2O4::getSoftCostMetrics(unsigned int, float const*, float const*)
3951      2.8004  libc-2.12.2.so           libc-2.12.2.so           malloc
3949      2.7990  libc-2.12.2.so           libc-2.12.2.so           memcpy
3270      2.3177  transceiver              transceiver              RadioInterface::radioifyVector(signalVector&, short*, float, bool)
3269      2.3170  libc-2.12.2.so           libc-2.12.2.so           _int_malloc
3007      2.1313  transceiver              transceiver              sinLookup(float)
2838      2.0115  transceiver              transceiver              gLoggingLevel(char const*)
2763      1.9584  OpenBTS                  OpenBTS                  ViterbiR2O4::pruneCandidates()
2670      1.8924  transceiver              transceiver              scaleVector(signalVector&, Complex<float>)
2587      1.8336  libc-2.12.2.so           libc-2.12.2.so           memcmp
2292      1.6245  libc-2.12.2.so           libc-2.12.2.so           free
2161      1.5317  OpenBTS                  OpenBTS                  ViterbiR2O4::minCost() const
1971      1.3970  transceiver              transceiver              RadioInterface::unRadioifyVector(short*, signalVector&)
1795      1.2723  [vectors] (tgid:10946 range:0xffff0000-0xffff1000) transceiver              [vectors] (tgid:10946 range:0xffff0000-0xffff1000)
1778      1.2602  OpenBTS                  OpenBTS                  SoftVector::decode(ViterbiR2O4&, BitVector&) const
1777      1.2595  transceiver              transceiver              sinc(float)
1740      1.2333  libc-2.12.2.so           libc-2.12.2.so           _int_free
1468      1.0405  transceiver              transceiver              GMSKReverseRotate(signalVector&)
1423      1.0086  transceiver              transceiver              interpolatePoint(signalVector const&, float)
1145      0.8116  transceiver              transceiver              vectorSlicer(signalVector*)
1060      0.7513  OpenBTS                  OpenBTS                  ViterbiR2O4::branchCandidates()
1055      0.7478  transceiver              transceiver              Transceiver::driveReceiveFIFO()
1032      0.7315  transceiver              transceiver              RadioInterface::driveReceiveRadio()
982       0.6960  libpthread-2.12.2.so     libpthread-2.12.2.so     pthread_mutex_lock
949       0.6726  libgcc_s.so.1            libgcc_s.so.1            /lib/libgcc_s.so.1
938       0.6648  libm-2.12.2.so           libm-2.12.2.so           roundl
932       0.6606  transceiver              transceiver              GMSKRotate(signalVector&)
768       0.5443  libpthread-2.12.2.so     libpthread-2.12.2.so     __pthread_mutex_unlock_usercnt
765       0.5422  libuhd.so.003.001        libuhd.so.003.001        convert_item32_1_to_sc16_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
760       0.5387  OpenBTS                  OpenBTS                  gLoggingLevel(char const*)
729       0.5167  OpenBTS                  OpenBTS                  ARFCNManager::driveRx()
710       0.5032  libortp.so.8.0.0         libortp.so.8.0.0         /usr/lib/libortp.so.8.0.0
688       0.4876  libuhd.so.003.001        libuhd.so.003.001        convert_sc16_1_to_item32_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int)
652       0.4621  transceiver              transceiver              energyDetect(signalVector&, unsigned int, float, float*)
632       0.4479  libc-2.12.2.so           libc-2.12.2.so           malloc_consolidate
629       0.4458  transceiver              transceiver              modulateBurst(BitVector const&, signalVector const&, int, int)
620       0.4394  OpenBTS                  OpenBTS                  SoftVector::sliced() const
598       0.4238  libc-2.12.2.so           libc-2.12.2.so           strlen
569       0.4033  transceiver              transceiver              Transceiver::pullRadioVector(GSM::Time&, int&, int&)
552       0.3912  asterisk                 asterisk                 /usr/sbin/asterisk
545       0.3863  transceiver              transceiver              ConfigurationTable::getStr(std::string const&) const
514       0.3643  transceiver              transceiver              ConfigurationTable::defines(std::string const&) const
466       0.3303  libboost_thread.so.1.45.0 libboost_thread.so.1.45.0 /usr/lib/libboost_thread.so.1.45.0
448       0.3175  transceiver              transceiver              delayVector(signalVector&, float)
435       0.3083  libc-2.12.2.so           libc-2.12.2.so           Laligned
430       0.3048  libuhd.so.003.001        libuhd.so.003.001        usrp_e100_impl::recv(uhd::ref_vector<void*> const&, unsigned int, uhd::rx_metadata_t&, uhd::io_type_t const&, uhd::device::recv_mode_t, double)
