CPU: CPU with timer interrupt, speed 0 MHz (estimated)
Profiling through timer interrupt
samples  %        image name               app name                 symbol name
28695    16.3773  no-vmlinux               no-vmlinux               /no-vmlinux
28310    16.1576  libc-2.12.2.so           libc-2.12.2.so           /lib/libc-2.12.2.so
22622    12.9112  transceiver              transceiver              convolve(signalVector const*, signalVector const*, signalVector*, ConvType, unsigned int, unsigned int)
12543     7.1588  libstdc++.so.6.0.14      libstdc++.so.6.0.14      /usr/lib/libstdc++.so.6.0.14
9451      5.3940  OpenBTS                  OpenBTS                  ViterbiR2O4::getSoftCostMetrics(unsigned int, float const*, float const*)
5095      2.9079  transceiver              transceiver              RadioInterface::radioifyVector(signalVector&, short*, float, bool)
4317      2.4639  libpthread-2.12.2.so     libpthread-2.12.2.so     /lib/libpthread-2.12.2.so
3894      2.2225  transceiver              transceiver              sinLookup(float)
3426      1.9553  OpenBTS                  OpenBTS                  ViterbiR2O4::pruneCandidates()
3260      1.8606  transceiver              transceiver              scaleVector(signalVector&, Complex<float>)
3217      1.8361  transceiver              transceiver              gLoggingLevel(char const*)
2694      1.5376  OpenBTS                  OpenBTS                  ViterbiR2O4::minCost() const
2623      1.4970  libm-2.12.2.so           libm-2.12.2.so           /lib/libm-2.12.2.so
2478      1.4143  transceiver              transceiver              RadioInterface::unRadioifyVector(short*, signalVector&)
2372      1.3538  transceiver              transceiver              sinc(float)
2169      1.2379  OpenBTS                  OpenBTS                  SoftVector::decode(ViterbiR2O4&, BitVector&) const
2149      1.2265  transceiver              transceiver              GMSKReverseRotate(signalVector&)
2029      1.1580  [vectors] (tgid:432 range:0xffff0000-0xffff1000) transceiver              [vectors] (tgid:432 range:0xffff0000-0xffff1000)
1973      1.1261  transceiver              transceiver              interpolatePoint(signalVector const&, float)
1586      0.9052  transceiver              transceiver              Transceiver::driveReceiveFIFO()
1536      0.8767  transceiver              transceiver              vectorSlicer(signalVector*)
1338      0.7636  transceiver              transceiver              RadioInterface::driveReceiveRadio()
1332      0.7602  OpenBTS                  OpenBTS                  ViterbiR2O4::branchCandidates()
1121      0.6398  transceiver              transceiver              GMSKRotate(signalVector&)
1115      0.6364  libgcc_s.so.1            libgcc_s.so.1            /lib/libgcc_s.so.1
1058      0.6038  OpenBTS                  OpenBTS                  gLoggingLevel(char const*)
973       0.5553  libortp.so.8.0.0         libortp.so.8.0.0         /usr/lib/libortp.so.8.0.0
949       0.5416  libuhd.so.003.002        libuhd.so.003.002        convert_sc16_1_to_item32_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int, double)
945       0.5393  libuhd.so.003.002        libuhd.so.003.002        convert_item32_1_to_sc16_1_nswap(uhd::ref_vector<void const*> const&, uhd::ref_vector<void*> const&, unsigned int, double)
862       0.4920  OpenBTS                  OpenBTS                  ARFCNManager::driveRx()
812       0.4634  transceiver              transceiver              energyDetect(signalVector&, unsigned int, float, float*)
789       0.4503  transceiver              transceiver              modulateBurst(BitVector const&, signalVector const&, int, int)
753       0.4298  OpenBTS                  OpenBTS                  SoftVector::sliced() const
731       0.4172  asterisk                 asterisk                 /usr/sbin/asterisk
697       0.3978  transceiver              transceiver              Transceiver::pullRadioVector(GSM::Time&, int&, int&)
650       0.3710  transceiver              transceiver              delayVector(signalVector&, float)
648       0.3698  libuhd.so.003.002        libuhd.so.003.002        e100_impl::recv(uhd::ref_vector<void*> const&, unsigned int, uhd::rx_metadata_t&, uhd::io_type_t const&, uhd::device::recv_mode_t, double)
556       0.3173  transceiver              transceiver              ConfigurationTable::defines(std::string const&) const
522       0.2979  [vectors] (tgid:431 range:0xffff0000-0xffff1000) OpenBTS                  [vectors] (tgid:431 range:0xffff0000-0xffff1000)
522       0.2979  libboost_thread.so.1.45.0 libboost_thread.so.1.45.0 /usr/lib/libboost_thread.so.1.45.0
517       0.2951  OpenBTS                  OpenBTS                  GSM::TCHFACCHL1Decoder::deinterleave(int)
508       0.2899  transceiver              transceiver              ConfigurationTable::getStr(std::string const&) const
503       0.2871  OpenBTS                  OpenBTS                  ConfigurationTable::defines(std::string const&) const
493       0.2814  transceiver              transceiver              peakDetect(signalVector const&, float*, float*)
463       0.2643  transceiver              transceiver              Transceiver::pushRadioVector(GSM::Time&)
402       0.2294  OpenBTS                  OpenBTS                  ConfigurationTable::getStr(std::string const&) const
